,Date,Product,Category,Quantity,Price,Customer,Region,Payment
0,2025-01-01,Laptop,Electronics,5.0,999.99,John Smith,North,Credit Card
1,2025-01-02,Mouse,Accessories,,29.99,Mary Johnson,South,
2,2025-01-02,Keyboard,Accessories,8.0,,Peter Wang,East,Cash
3,2025-01-03,,Electronics,3.0,299.99,,North,Credit Card
4,2025-01-03,Laptop,Electronics,0.0,999.99,Sarah Brown,,Debit Card
5,2025-01-04,Mouse,Accessories,15.0,29.99,David Miller,West,
6,,Monitor,Electronics,2.0,399.99,Lisa Chen,South,Credit Card
7,2025-01-05,Printer,,4.0,,Tom Wilson,East,Cash
8,2025-01-05,Keyboard,Accessories,-1.0,89.99,,,PayPal
9,2025-01-06,Mouse,Accessories,12.0,29.99,Emma Davis,West,
10,2025-01-06,,,,199.99,James Lee,North,Credit Card
11,2025-01-07,Laptop,Electronics,,999.99,,,
